SchemaName,TableName,SourceNotNULLCount,TargetNotNULLCount
edw,tblCoBrokeOptedOutAdvertisers,3,3
edw,tblCoBrokePostalcodes,3,3
edw,tblCobrokePostalCodetoPriceTierMapping,2,2
edw,tblCobrokePreviousMonthRecomendedBSE,0,0
edw,tblCobrokeSlotAdjustment,0,0
edw,tblCobrokeSmallSlotBigSlotTier,0,0
edw,tblCobrokeSummaryZipbuffermanagement,0,0
edw,tblCommunityDim,2,1
edw,tblCommunityManagmentDim,2,1
edw,tblConsumerDeviceDetailsDim,6,6
edw,tblConsumerDeviceDetailsDim_FastLoad,6,6
edw,tblContractFulfillmentProductBridge,0,0
edw,tblCustomerAccountCLCDetailFact,2,2
edw,tblCustomerAccountCLCFact,5,5
edw,tblCustomerAccountHLCDetailFact,3,3
edw,tblCustomerAccountHLCFact,5,5
edw,tblCustomerAccountMapping,1,1
edw,tblCustomerAgentsToOffice,2,2
edw,tblCustomerCLCDetailFact,2,2
edw,tblCustomerCLCFact,5,5
edw,tblCustomerContactDim,5,5
edw,tblCustomerContracts,2,2
edw,tblCustomerDim,36,35
edw,tblCustomerDim_Legacy,18,17
edw,tblCustomerHLCDetailFact,3,3
edw,tblCustomerHLCFact,5,5
edw,tblCustomerLeads,27,27
edw,tblCustomerLeadTypeDim,1,1
edw,tblCustomerListingCountFact,9,9
edw,tblCustomerListingCountFact_New,9,9
edw,tblCustomerMapDim,1,1
edw,tblCustomerMonthlyLDPByListingClassification,5,5
edw,tblCustomerOfficesToBroker,3,3
edw,tblCustomerPartyIDCLCFact,5,5
edw,tblCustomerPartyIDHLCDetailFact,3,3
edw,tblCustomerPartyIDHLCFact,5,5
edw,tblCustomerPartyIDListingTypeCLCDetailFact,2,2
edw,tblCustomerPartyIDListingTypeCLCFact,6,6
edw,tblCustomerPartyIDListingTypeHLCDetailFact,3,3
edw,tblCustomerPartyIDListingTypeHLCFact,6,6
edw,tblCustomerProductMonthlyLeadCountAgg,0,0
edw,tblCustomerProductWeeklyLeadCountAgg,0,0
edw,tblCustomerShowcaseChoiceDim,6,6
edw,tblCustomerUtilizationSnapshot,0,0
edw,tblDailyEventFactByPageRank,8,8
edw,tblDapCityTierAdHoc,1,1
edw,tblDapCityTierMonthlyFact,1,1
edw,tblDapTierDim,1,1
edw,tblDataSourceDim,11,10
edw,tblDataSourceDim_Legacy,13,12
edw,tblDateDim,35,35
edw,tblDomainDim,4,4
edw,tblDomainDim_FastLoad,4,4
edw,tbldoorstepmonthlythreshold,0,0
edw,tblEssence,1,1
edw,tblEventAttributesDim,5,5
edw,tblEventClassDim,2,2
edw,tblEventDetailCategoryDim,2,2
edw,tblEventFamilyDim,2,2
edw,tblEventSummaryCategoryDim,2,2
edw,tblEventTypeCategoryBridge,5,5
edw,tblEventTypeCategoryDim,3,3
edw,tblEventTypeClassificationDim,2,2
edw,tblEventTypeDim,6,6
edw,tblEventTypeLeadCategoryBridge,6,6
edw,tblFCMAInquiryDim,3,2
edw,tblFinalInventory,0,0
edw,tblFranchiseDim,1,1
edw,tblGatewayDim,4,4
edw,tblGatewayDim_FastLoad,4,4
edw,tblGeoLevelEventFact,11,11
edw,tblGISGeographyDim,29,29
edw,tblGISHierarchyDim,1,1
edw,tblGlobalVariables,7,7
edw,tblLeadAdvertiserSelectionTypeDim,1,1
edw,tblLeadCategoryDim,4,4
edw,tblLeadContactMethodDim,3,3
edw,tblLeadDenorm,1,1
edw,tblLeadFormDim,4,3
edw,tblLeadProductDim,4,3
edw,tblLeadReasonDim,5,4
edw,tblLeadStatusDim,4,3
edw,tblLeadSystemDim,4,3
edw,tblLeadTypeDim,4,3
edw,tblLinkElementDim,4,4
edw,tblLinkElementDim_FastLoad,4,4
edw,tblListingAggregate,6,6
edw,tblListingAggregate_MSA,6,6
edw,tblListingDailysnapshot,0,0
edw,tblListingDim,33,32
edw,tblListingDim_Current,31,31
edw,tblListingMetricsWeekly,13,13
edw,tblListingProductDim,2,2
edw,tblLocalVariables,9,9
edw,tblMasterListingStatuses,6,5
edw,tblMAT,3,3
edw,tblMeasureNameDim,3,3
