brokercontractdm,tblagentbridge,agentbundlekey,integer,**
brokercontractdm,tblagentbridge,agentdimkey,integer,**
brokercontractdm,tblagentbridge,bundlecount,integer,**
brokercontractdm,tblbrokerbillinginformationdim,brokercontractbillinginformationdimkey,integer,**
brokercontractdm,tblbrokerbillinginformationdim,contractlengthinmonths,integer,**
brokercontractdm,tblbrokerbillinginformationdim,paymentscheduledescription,character varying,25
brokercontractdm,tblbrokerbillinginformationdim,paymentscheduleid,character,1
brokercontractdm,tblbrokercontactbridge,brokercontractcontactbundlekey,integer,**
brokercontractdm,tblbrokercontactbridge,brokercontractcontactdimkey,integer,**
brokercontractdm,tblbrokercontactbridge,bundlecount,integer,**
brokercontractdm,tblbrokercontractcontactdim,alternatephone,character varying,31
brokercontractdm,tblbrokercontractcontactdim,brokercontractcontactdimkey,integer,**
brokercontractdm,tblbrokercontractcontactdim,cellphone,character varying,31
brokercontractdm,tblbrokercontractcontactdim,companyname,character varying,50
brokercontractdm,tblbrokercontractcontactdim,contactid,integer,**
brokercontractdm,tblbrokercontractcontactdim,contacttitle,character varying,25
brokercontractdm,tblbrokercontractcontactdim,emailaddress,character varying,255
brokercontractdm,tblbrokercontractcontactdim,fax,character varying,31
brokercontractdm,tblbrokercontractcontactdim,firmaddress1,character varying,35
brokercontractdm,tblbrokercontractcontactdim,firmaddress2,character varying,35
brokercontractdm,tblbrokercontractcontactdim,firmcity,character varying,25
brokercontractdm,tblbrokercontractcontactdim,firmcountry,character,3
brokercontractdm,tblbrokercontractcontactdim,firmpostalcode,character varying,17
brokercontractdm,tblbrokercontractcontactdim,firmstateprovince,character,2
brokercontractdm,tblbrokercontractcontactdim,firstname,character varying,15
brokercontractdm,tblbrokercontractcontactdim,homephone,character varying,31
brokercontractdm,tblbrokercontractcontactdim,lastname,character varying,20
brokercontractdm,tblbrokercontractcontactdim,middleinitial,character,1
brokercontractdm,tblbrokercontractcontactdim,pager,character varying,31
brokercontractdm,tblbrokercontractcontactdim,workphone,character varying,31
brokercontractdm,tblbrokercontractjunkdim,brokercontractjunkdimkey,integer,**
brokercontractdm,tblbrokercontractjunkdim,commissionable,character,1
brokercontractdm,tblbrokercontractjunkdim,contractlength,integer,**
brokercontractdm,tblbrokercontractjunkdim,contractlengthunits,character,1
brokercontractdm,tblbrokercontractjunkdim,empid,integer,**
brokercontractdm,tblbrokercontractjunkdim,lastupdate,timestamp without time zone,**
brokercontractdm,tblbrokercontractjunkdim,lastupdatedby,character varying,15
brokercontractdm,tblbrokercontractjunkdim,solomoncustid,character,15
brokercontractdm,tblbrokercontractoriginationtransactionalfact,actualbrokercontractdatetime,timestamp without time zone,
brokercontractdm,tblbrokercontractoriginationtransactionalfact,actualbrokercontractexpirationdatetime,timestamp without time zone,
brokercontractdm,tblbrokercontractoriginationtransactionalfact,actualbrokercontractlaunchdatetime,timestamp without time zone,
brokercontractdm,tblbrokercontractoriginationtransactionalfact,actualbrokercontractmostrecentrenewaldatetime,timestamp without time zone,
brokercontractdm,tblbrokercontractoriginationtransactionalfact,actualbrokercontractoriginalsigndatetime,timestamp without time zone,
brokercontractdm,tblbrokercontractoriginationtransactionalfact,actualbrokercontracttransactioneffectivefromdatetime,timestamp without time zone,
brokercontractdm,tblbrokercontractoriginationtransactionalfact,actualbrokercontracttransactioneffectivetodatetime,timestamp without time zone,
brokercontractdm,tblbrokercontractoriginationtransactionalfact,agentbundlekey,integer,**
brokercontractdm,tblbrokercontractoriginationtransactionalfact,brokercontractaccountstatusdimkey,integer,**
brokercontractdm,tblbrokercontractoriginationtransactionalfact,brokercontractbillinginformationdimkey,integer,**
brokercontractdm,tblbrokercontractoriginationtransactionalfact,brokercontractcontactbundlekey,integer,**
brokercontractdm,tblbrokercontractoriginationtransactionalfact,brokercontractdatedimkey,integer,**
brokercontractdm,tblbrokercontractoriginationtransactionalfact,brokercontractexpirationdatedimkey,integer,**
brokercontractdm,tblbrokercontractoriginationtransactionalfact,brokercontractexpirationtimedimkey,integer,**
brokercontractdm,tblbrokercontractoriginationtransactionalfact,brokercontractid,integer,**
brokercontractdm,tblbrokercontractoriginationtransactionalfact,brokercontractjunkdimkey,integer,**
brokercontractdm,tblbrokercontractoriginationtransactionalfact,brokercontractlaunchdatedimkey,integer,**
brokercontractdm,tblbrokercontractoriginationtransactionalfact,brokercontractlaunchtimedimkey,integer,**
brokercontractdm,tblbrokercontractoriginationtransactionalfact,brokercontractmostrecentrenewaldatedimkey,integer,**
brokercontractdm,tblbrokercontractoriginationtransactionalfact,brokercontractmostrecentrenewaltimedimkey,integer,**
brokercontractdm,tblbrokercontractoriginationtransactionalfact,brokercontractoriginalsigndatedimkey,integer,**
brokercontractdm,tblbrokercontractoriginationtransactionalfact,brokercontractoriginalsigntimedimkey,integer,**
brokercontractdm,tblbrokercontractoriginationtransactionalfact,brokercontractoriginationtransactionfactkey,integer,**
brokercontractdm,tblbrokercontractoriginationtransactionalfact,brokercontractprogramdimkey,integer,**
brokercontractdm,tblbrokercontractoriginationtransactionalfact,brokercontracttimedimkey,integer,**
brokercontractdm,tblbrokercontractoriginationtransactionalfact,brokercontracttransactioneffectivefromdatedimkey,integer,**
brokercontractdm,tblbrokercontractoriginationtransactionalfact,brokercontracttransactioneffectivefromtimedimkey,integer,**
brokercontractdm,tblbrokercontractoriginationtransactionalfact,brokercontracttransactioneffectivetodatedimkey,integer,**
brokercontractdm,tblbrokercontractoriginationtransactionalfact,brokercontracttransactioneffectivetotimedimkey,integer,**
