schemaname,tablename
edw,tblConsumerDeviceDetailsDim
edw,tblConsumerDeviceDetailsDim_FastLoad
edw,tblContractFulfillmentProductBridge
edw,tblCustomerAccountCLCDetailFact
edw,tblCustomerAccountCLCFact
edw,tblCustomerAccountHLCDetailFact
edw,tblCustomerAccountHLCFact
edw,tblCustomerAccountMapping
edw,tblCustomerAgentsToOffice
edw,tblCustomerCLCDetailFact
edw,tblCustomerCLCFact
edw,tblCustomerContactDim
edw,tblCustomerContracts
edw,tblCustomerDim
edw,tblCustomerDim_Legacy
edw,tblCustomerHLCDetailFact
edw,tblCustomerHLCFact
edw,tblCustomerLeads
edw,tblCustomerLeadTypeDim
edw,tblCustomerListingCountFact
edw,tblCustomerListingCountFact_New
edw,tblCustomerMapDim
edw,tblCustomerMonthlyLDPByListingClassification
edw,tblCustomerOfficesToBroker
edw,tblCustomerPartyIDCLCFact
edw,tblCustomerPartyIDHLCDetailFact
edw,tblCustomerPartyIDHLCFact
edw,tblCustomerPartyIDListingTypeCLCDetailFact
edw,tblCustomerPartyIDListingTypeCLCFact
edw,tblCustomerPartyIDListingTypeHLCDetailFact
edw,tblCustomerPartyIDListingTypeHLCFact
edw,tblCustomerProductMonthlyLeadCountAgg
edw,tblCustomerProductWeeklyLeadCountAgg
edw,tblCustomerShowcaseChoiceDim
edw,tblCustomerUtilizationSnapshot
edw,tblDailyEventFactByPageRank
edw,tblDapCityTierAdHoc
edw,tblDapCityTierMonthlyFact
edw,tblDapTierDim
edw,tblDataSourceDim
edw,tblDataSourceDim_Legacy
edw,tblDateDim
edw,tblDomainDim
edw,tblDomainDim_FastLoad
edw,tbldoorstepmonthlythreshold
edw,tblEssence
edw,tblEventAttributesDim
edw,tblEventClassDim
edw,tblEventDetailCategoryDim
edw,tblEventFamilyDim
edw,tblEventSummaryCategoryDim
edw,tblEventTypeCategoryBridge
edw,tblEventTypeCategoryDim
edw,tblEventTypeClassificationDim
edw,tblEventTypeDim
edw,tblEventTypeLeadCategoryBridge
edw,tblFCMAInquiryDim
edw,tblFinalInventory
edw,tblFranchiseDim
edw,tblGatewayDim
edw,tblGatewayDim_FastLoad
edw,tblGeoLevelEventFact
edw,tblGISGeographyDim
edw,tblGISHierarchyDim
edw,tblGlobalVariables
edw,tblLeadAdvertiserSelectionTypeDim
edw,tblLeadCategoryDim
edw,tblLeadContactMethodDim
edw,tblLeadDenorm
edw,tblLeadFormDim
edw,tblLeadProductDim
edw,tblLeadReasonDim
edw,tblLeadStatusDim
edw,tblLeadSystemDim
edw,tblLeadTypeDim
edw,tblLinkElementDim
edw,tblLinkElementDim_FastLoad
edw,tblListingAggregate
edw,tblListingAggregate_MSA
edw,tblListingDailysnapshot
edw,tblListingDim
edw,tblListingDim_Current
edw,tblListingMetricsWeekly
edw,tblListingProductDim
edw,tblLocalVariables
edw,tblMasterListingStatuses
edw,tblMAT
edw,tblMeasureNameDim
edw,tblMLS2016PriceTier
edw,tblMLSDim
edw,tblMobileLegacySpecialProcessing
edw,tblMonthDim
edw,tblMSADim
edw,tblNewHomesPlanDim
edw,tblNewHomesSubdivisionDim
edw,tblNonTurboListingDim
edw,tblOfficeBrokerBridgeFact
edw,tblOfficeDim
edw,tblOfficeDim_Legacy
edw,tblOfficeListingCountFact
edw,tblOfficePartyIDMonthlyLDP
edw,tblOmnitureRDCTrafficDim
edw,tblOmnitureRDCTrafficFact
edw,tblOmnitureUUVisitsFact
edw,tblOrderDim
edw,tblPageActivityDailySnapshotFact_FastLoad
edw,tblPageClassificationBridge
edw,tblPageClassificationDim
edw,tblPageDim
edw,tblPageDim_FastLoad
edw,tblPeriodAggregatesSpecialProcessing
edw,tblPeriodAggregatesSpecialProcessing_NEW
edw,tblPeriodTypeDim
edw,tblPhoneTrackingFact
edw,tblPlaceOnThePageDim
edw,tblPlaceOnThePageDim_FastLoad
edw,tblPORCHLeadDataDim
edw,tblProductClassificationDim
edw,tblProductDim
edw,tblProductSetDim
edw,tblPropertyDim
edw,tblQuarterDim
edw,tblRDCAdTypeClassificationBridge
edw,tblRDCAdTypeClassificationDim
edw,tblRDCAdTypeDim_FastLoad
edw,tblRDCFulfillmentProductDim
edw,tblRDCListingProductBridgeFact
edw,tblRecomendedSlots
edw,tblRefElementDim
edw,tblRefElementDim_FastLoad
edw,tblRegionDim
edw,tblSendEmailDetail
edw,tblSeniorLeadManagmentList
edw,tblSiebelAccountDim
edw,tblSiebelBOPContactDim
edw,tblSiebelContractDim
edw,tblSiebelProductDim
edw,tblSiebelProductGrouping
edw,tblSiebelProductPriceListDim
edw,tblSiteSectionDim
edw,tblSiteSectionFact
edw,tblSiteSectionMeasureNameDim
edw,tblSlot_Details
edw,tblSmallSlotBigSlotTier
edw,tblSourceApplicationDim
edw,tblSourceApplicationDim_FastLoad
edw,tblSourceBrandDim
edw,tblSourceClassificationDim
edw,tblTeamCustomerBridge
edw,tblTeamDim
edw,tblTigerLeadContractDim
edw,tblTigerLeadReasonDim
edw,tblTimeDim
edw,tblTimeZoneDim
edw,tblTopProducerContractDim
edw,tblTurboForecastByCityMonth
edw,tblUmbrellaContractBOPDim
edw,tblUserAgentDim
edw,tblUSPSGeographyDim
edw,tblWidgetDim
edw,tblWidgetDim_FastLoad
edw,tblxADVERTISER
edw,tblYearDim
KPIFramework,tblListingStatusDim
KPIFramework,tblListingTypeDim
KPIFramework,tblMeasureNameDim
KPIFramework,tblMeasureSourceBridgeDim
KPIFramework,tblMetricAggregateFact
KPIFramework,tblMetricController
KPIFramework,tblMetricTransformationController
KPIFramework,tblSourceDataLoadController
ListingCube,tblListingAgeRangeDim
ListingCube,tblListingLivingRangeSqFtDim
ListingCube,tblListingMarketTrendsByCityMonth
ListingCube,tblListingMarketTrendsByCountyMonth
ListingCube,tblListingMarketTrendsByNeighborhoodMonth
ListingCube,tblListingMarketTrendsByStateMonth
ListingCube,tblListingMarketTrendsByZipMonth
ListingCube,tblListingMLSDim
ListingCube,tblListingMonthlySnapshotFact
ListingCube,tblListingNoOfBathroomsDim
ListingCube,tblListingNoOfBedroomsDim
ListingCube,tblListingNoOfStoriesDim
ListingCube,tblListingPriceDiffRangeDim
ListingCube,tblListingPricePerSqFtRangeDim
ListingCube,tblListingPriceRangeDim
ListingCube,tblListingRawStatusDim
ListingCube,tblListingRentalPriceRangeDim
ListingCube,tblListingStatusDim
ListingCube,tblListingTypeDim
ListingCube,tblListingWeeklyAggregatebyCBSA
ListingCube,tblListingWeeklyAggregatebyCountry
ListingCube,tblListingWeeklyAggregatebyCounty
ListingCube,tblListingWeeklyAggregatebyState
ListingCube,tblListingWeeklyAggregatebyZip
ListingCube,tblListingWeeklySnapshotFact
ListingCube,tblLotSqFtRangeDim
ListingCube,tblMonthDim
ListingCube,tblNeighborhoodDim
ListingCube,tblNHBuilderDim
ListingCube,tblNHCommunityStatusdim
ListingCube,tblNHCommunityStyleDim
ListingCube,tblNHInventorymonthlySnapshotFact
ListingCube,tblNHInventoryWeeklySnapshotFact
ListingCube,tblNHNoOfGarageDim
ListingCube,tblNHPlanMonthlySnapshotFact
ListingCube,tblNHPlanTypeDim
ListingCube,tblNHPlanWeeklySnapshotFact
ListingCube,tblNHPropertyStatusDim
ListingCube,tblSearchMonthListingFact
ListingCube,tblSearchWeekListingFact
ListingCube,tblWeekDim
Marketing,tblEmailAccountDim
Marketing,tblEmailCampaignDim
Marketing,tblEmailEventTypeDim
Marketing,tblEmailMarketingFact
Marketing,tblEmailMarketingWeekDim
Marketing,tblEmailMeasurementDim
Marketing,tblEmailOfferNameDim
Marketing,tblEmailReasonDim
Marketing,tblEmailRIIDDim
Marketing,tblEmailUniqueCountFact
Marketing,tblEmailVendorDim
Marketing,tblSendgridEmailMarketingFact_Monthly
MMSearchDM,tblCreditScoreBucketDim
MMSearchDM,tblEligibilityTypeDim
MMSearchDM,tblGeoSearchCriteriaDim
MMSearchDM,tblIncomeBucketDim
MMSearchDM,tblInvestorDim
MMSearchDM,tblLoanProductDim
MMSearchDM,tblLoanProgramDim
MMSearchDM,tblLoanPurposeSearchTypeDim
MMSearchDM,tblPathDim
MMSearchDM,tblPurchaseCostsBucketDim
MMSearchDM,tblSearchCriteriaDim
MMSearchDM,tblSearchCriteriaFact
MMSearchDM,tblSearchResultsFact
MMSearchDM,tblSessionDim
MMSearchDM,tblVisitorDim
MSTRRpt,Dates
MSTRRpt,DatesLastYear
MSTRRpt,ListingCounts
MSTRRpt,MedianPrice_Current
MSTRRpt,MedianPrice_LastYear
MSTRRpt,MLS_LDP
MSTRRpt,MLS_Listing_Price_LastYear
MSTRRpt,MLS_Listing_Price_Prod
MSTRRpt,MLS_SRP
MSTRRpt,tblCoBrokeLeadProjection
OrderDM,tblBillingInformationDim
OrderDM,tblMarketDim
OrderDM,tblOrderJunkDim
OrderDM,tblOrderOriginationChannelDim
OrderDM,tblOrderOriginationTransactionalFact
OrderDM,tblOrderStatusDim
OrderDM,tblSalesAgentContactDim
OrderDM,tblSalesAgentDim
OSL,tblAdvertiserProductBridge_UHURA
OSL,tblAgent_uhura
OSL,tblLead_uhura
OSL,tbllistingFact_UHURA
OSL,tbllistingProductBridge_UHURA
OSL,tbllisting_UHURA
RegistrationDM,tblMemberDim
Report,tblAdminCustMLS
Report,tblAdminCustomers
Report,tblBDXNewHomesExport
Report,tblCoStarLeadData
Report,tblDailyAgentProfileData
Report,tblDailyAgentProfileDetail
Report,tblDailyInventoryMetricData
Report,tblEventTypeBDXMapping
Report,tblFTPReportBrokerDetail
Report,tblListHubDailyListingMetrics
Report,tblListingBCPReportExportOutPut
Report,tblListingBCPReportPlanDetail
Report,tblListingCurrentMetricAggregateFact
Report,tblListingHistoricalMetricAggregateFact
Report,tblListingMetricAggregateFact
Report,tblListingMetrics_Country_Month
Report,tblListingMetrics_MSA_Month
Report,tblResponsysSendGridDailyDelta
Report,tblRevenueReportLead
Report,tblSeniorHousingLeadData
Report,tblSiebelContracts
SearchDM,GISLookupRefreshLog
SearchDM,SearchGISBridgeMap
SearchDM,tblBathSearchCriteriaDim
SearchDM,tblBedSearchCriteriaDim
SearchDM,tblCriteriaTimespanDim
SearchDM,tblNearbyAreaBridge
SearchDM,tblPriceBucketDim
SearchDM,tblPropertyTypeDim
SearchDM,tblRealtorSearchCriteriaGroupDim
SearchDM,tblRealtorSearchCriteriaGroupFact
SearchDM,tblRealtorSearchDim
SearchDM,tblSearchAreaTypeDim
SearchDM,tblSearchDeedBridge
SearchDM,tblSearchDim
SearchDM,tblSearchEventFact
SearchDM,tblSearchGeoDim
SearchDM,tblSearchGISBridge
SearchDM,tblSearchOtherFeatureBridge
SearchDM,tblSearchOtherFeatureDim
SearchDM,tblSearchPropertyDeedDim
SearchDM,tblSearchPropertyFeatureBridge
SearchDM,tblSearchPropertyFeatureDim
SearchDM,tblSearchPropertyTypeBridge
SearchDM,tblSearchTypeDim
TheWorks,tblListHubDailyListingMetrics_SlidingWindowStaging
ValidationFramework,tblSanityRulesRunLog
WebAnalyticsDM,tblChannelActivityDailySnapshotFact
WebAnalyticsDM,tblChannelActivityHourlySnapshotFact
WebAnalyticsDM,tblClickStreamActivityDailySnapshotFact
WebAnalyticsDM,tblClickStreamActivityHourlySnapshotFact
WebAnalyticsDM,tblPageActivityDailySnapshotFact
WebAnalyticsDM,tblPeriodAggregateFact
WebAnalyticsDM,tblRDCAdTypeDim
